,text,id,retweets,replys,likes,author_id,source,lang,created_at,place_id
10,"Dos ativos? Leonardo Péricles (UP), a do PCB e a do PSTU. Sem pestanejar. https://t.co/QK3xnyuX2d",1536708168406925314,0,0,0,1530345521797373953,Twitter for Android,pt,2022-06-14 13:52:32+00:00,
11,"@niefraim Eu tenho me decepcionado muito com o Lula, principalmente com as alianças com golpistas.

Me vejo obrigado a votar no Leonardo Péricles, talvez o candidato mais próximo da minha realidade e um ativista assíduo nas quebradas.",1536544145719930880,1,3,9,1399394784016535553,Twitter for Android,pt,2022-06-14 03:00:46+00:00,
12,"@g1 Chamem o Leonardo Péricles, dêem a chance dele mostrar que é o candidato certo.

Chega de chamar pra entrevista e debate só os mesmos.",1536444677146157056,0,3,3,941714504378933249,Twitter for Android,pt,2022-06-13 20:25:31+00:00,
13,"@viniciusduarte Se somar as intenções de voto do Ciro, Janones, Tebet, Pablo Marçal, Vera Lúcia, Eymael, Felipe D'Avila, Sofia Manzano, Bivar, Gal Santos Cruz, Leonardo Péricles mais brancos, nulos, não vai votar e indecisos dá 24%, pouco mais da metade da rejeição do Ciranha.",1536389047442190336,0,0,3,861418220,Twitter for Android,pt,2022-06-13 16:44:28+00:00,
14,"@marcelopjs @cirogomes Na última pesquisa o Ciro, Janones, Tebet, Pablo Marçal, Vera Lúcia, Eymael, Felipe D'Avila, Sofia Manzano, Bivar, Gal Santos Cruz, Leonardo Péricles mais brancos, nulos, não vai votar e indecisos somavam 24%. Acho que não precisa de barragem, cabe tudo num balde.",1536379117939183622,1,0,21,861418220,Twitter for Android,pt,2022-06-13 16:05:00+00:00,
15,"chamem o Leonardo Péricles da Unidade Popular também!! 

@LeoPericlesUP e @UP80BR https://t.co/yRYNia8uMf https://t.co/6BnSkfNCVE",1536345792507572224,0,0,2,1427322982972674054,Twitter Web App,pt,2022-06-13 13:52:35+00:00,
16,"Pericles está para Fídias, assim como Lourenço de Médici está para Leonardo da Vinci ou a Rainha Elizabeth I está para William Shakespeare... Meu Deus, o que houve com nosso século?",1536078389060182017,0,0,5,16876057,Tweetbot for Mac,pt,2022-06-12 20:10:01+00:00,
17,"Simplesmente Leonardo Péricles
Vou votar 80 pra presidente

Feliz dia dos namorados https://t.co/tMD2sEoCAh",1536053383303467010,0,1,1,1395929861013835778,Twitter for Android,pt,2022-06-12 18:30:39+00:00,
18,"Antônio fará 1 ano dia 16 de Junho. Maria do Amparo Araújo, sobrevivente, ligou de Recife lembrando q ela e Ariano Suassuna (amigo de Vitor) fazem anos no mesmo dia. Disse q estava hospedando Leonardo Péricles, candidato da UP a presidente, e preparava caldeirada c/ muita Lula...",1536047537324535809,0,1,3,76467937,Twitter Web App,pt,2022-06-12 18:07:25+00:00,
19,"In April  Leonardo had only finished the cartoon, and this all Florence flocked to see and admire.Pericles learned to love and admire him and the poet Euripides https://t.co/ocUOiVUGys",1535890512191758337,0,0,0,1453690810231181312,App-Auto-DM-tweet-TG_t1z0z,en,2022-06-12 07:43:28+00:00,
20,"Pesquisa Outra realidade paralela confirma:
Luciano Bivar vence no primeiro turno.
Indo contramão as outras pesquisas, essa revela seguinte cenário:
Luciano Bivar: 54%
Sofia Manzano : 22%
Leonardo Péricles: 8%
Professor Gianfranco: 6%
Simone Tebet: 2%

Brancos e nulos: 8%",1535816814156042240,0,0,0,1523815990836015112,Twitter Web App,pt,2022-06-12 02:50:37+00:00,
21,"não falou nada de errado mas me pega um pouco quando os caras falam em “se rebelar” e ai vc pergunta a solução e falam em votar no ciro

votem em sofia manzano e leonardo pericles, organizem-se no PCB, no PCR e nos seus respectivos coletivos e movimentos

construa o poder popular https://t.co/edmtLb3LY2",1535735172842373123,0,1,2,1234589435381063686,Twitter for iPhone,pt,2022-06-11 21:26:12+00:00,
22,@futebol_pontual Leonardo Péricles 80,1535441502331084801,0,0,1,2919984021,Twitter for Android,es,2022-06-11 01:59:15+00:00,
23,"@Olhar_Olimpico Demétrio, apenas três candidatos não têm buscado o voto da direita: Leonardo Péricles, Vera Lúcia e Sofia Manzano.",1535232708091297793,0,0,1,1414270560,Twitter Web App,pt,2022-06-10 12:09:35+00:00,
