,text,id,retweets,replys,likes,author_id,source,lang,created_at,place_id
10,"@RobsonB89914747 @lauramariotto @claudioedantas @lfdavilaoficial @o_antagonista Assim como devemos separar Moro da corja do UB, devemos ouvir as propostas de Felipe. O único candidato que tem de fato um projeto para o futuro do país. 
https://t.co/oBWPvi2qHy",1.53674767014391e+18,3.0,1.0,9.0,1.4842907774968832e+18,Twitter for Android,pt,2022-06-14 16:29:30+00:00,
11,"@JhonnyL75085257 @Exklusivo1 @heldersalomao Primeiro turno da pesquisa estimulada para presidente

Luiz Inácio Lula da Silva (PT) - 44%

Jair Bolsonaro (PL) - 32%

Ciro Gomes (PDT) - 9%

Simone Tebet (MDB) - 2%

André Janones (Avante) - 1%

Felipe d'Avila (Novo) - 1%
Ainda bem que não vou precisar votar no seg turno.",1.536742683611386e+18,0.0,4.0,1.0,1.481416750273024e+18,Twitter for Android,pt,2022-06-14 16:09:41+00:00,
12,@Luizcesar_sa @2022Enquetes @SF_Moro @lfdavilaoficial 👇🏼https://t.co/oBWPvi2qHy,1.5367360973964657e+18,0.0,2.0,2.0,1.4842907774968832e+18,Twitter for Android,und,2022-06-14 15:43:31+00:00,
13,"O pré-candidato ao Planalto, Luiz Felipe D'Ávila (Novo), é o entrevistado do programa Perspectivas desta 3ª feira (14.jun); acompanhe https://t.co/ZYC1d47eN2",1.5367113690971013e+18,2.0,1.0,3.0,1.2942847402378527e+18,Echobox,pt,2022-06-14 14:05:15+00:00,
14,"@ErickSantosSP Sim, existe. Mas trago um outro exemplo do pq não é só o componente ideológico. O Luiz Felipe D'Ávila, candidato do NOVO, que tem a mesma expressividade nas pesquisas, também não tem a cobertura que a Simone está tendo. Pq? Pq não tá movimentando o campo como ela",1.5363572814151844e+18,0.0,1.0,0.0,1.0768546028159796e+18,Twitter for Android,pt,2022-06-13 14:38:14+00:00,
15,"@WilsonR41272232 @freire_roberto Se não gosta da Tebet, tem o Luiz Felipe D’Avila. Só não existe argumento razoável pra anular no primeiro turno. Seria por birra.",1.5358865991160095e+18,0.0,0.0,0.0,36079637.0,Twitter for iPhone,pt,2022-06-12 07:27:55+00:00,
16,"@pombo_miope Eu vou de Luiz Felipe D'ávila,acho que é o melhor atual",1.5354329784023654e+18,0.0,0.0,1.0,1.533917918202839e+18,Twitter Web App,pt,2022-06-11 01:25:23+00:00,
17,"@josinoneto3007 Em nenhum dos 2 ou melhor nenhum dos 4.
Temos uma boa opção que é o Luiz Felipe D'Ávila do partido Novo.",1.5353241635309568e+18,0.0,0.0,0.0,1.4686925409625252e+18,Twitter Web App,pt,2022-06-10 18:13:00+00:00,
18,,,,,,,,,,
19,,,,,,,,,,
20,,,,,,,,,,
21,,,,,,,,,,
22,,,,,,,,,,
23,,,,,,,,,,
24,,,,,,,,,,
25,,,,,,,,,,
26,,,,,,,,,,
27,,,,,,,,,,
28,,,,,,,,,,
29,,,,,,,,,,
30,,,,,,,,,,
31,,,,,,,,,,
32,,,,,,,,,,
33,,,,,,,,,,
34,,,,,,,,,,
35,,,,,,,,,,
36,,,,,,,,,,
37,,,,,,,,,,
38,,,,,,,,,,
39,,,,,,,,,,
40,,,,,,,,,,
41,,,,,,,,,,
42,,,,,,,,,,
43,,,,,,,,,,
44,,,,,,,,,,
45,,,,,,,,,,
46,,,,,,,,,,
47,,,,,,,,,,
48,,,,,,,,,,
49,,,,,,,,,,
50,,,,,,,,,,
51,,,,,,,,,,
52,,,,,,,,,,
53,,,,,,,,,,
54,,,,,,,,,,
55,,,,,,,,,,
56,,,,,,,,,,
57,,,,,,,,,,
58,,,,,,,,,,
59,,,,,,,,,,
60,,,,,,,,,,
61,,,,,,,,,,
62,,,,,,,,,,
63,,,,,,,,,,
64,,,,,,,,,,
0,"@portal_bhaz Um dia depois de receber apoio público e entusiasmado do presidente Jair Bolsonaro em BH, governador Romeu Zema afirma: ""Meu candidato é Felipe D'ávila"" 

https://t.co/wRlw94IOj9",1.5480778183234232e+18,0.0,0.0,0.0,167999129.0,Twitter for Android,pt,2022-07-15 22:51:28+00:00,
1,"@Sulains @ValdoCruz Um dia depois de receber apoio público e entusiasmado do presidente Jair Bolsonaro em BH, governador Romeu Zema afirma: ""Meu candidato é Felipe D'ávila"" 

https://t.co/wRlw94IOj9",1.548077786287317e+18,0.0,0.0,0.0,167999129.0,Twitter for Android,pt,2022-07-15 22:51:20+00:00,
2,@Sil_SCBR @GugaNoblat Então se você inteligente só sobrou para votar no Luiz Felipe d’Avila.,1.548070995642028e+18,0.0,0.0,0.0,7.134518802953748e+17,Twitter for iPhone,pt,2022-07-15 22:24:21+00:00,
3,"🗳 Zema tenta se distanciar de Bolsonaro em MG e preocupa campanha do presidente:

Caiu como uma bomba o fato de Zema ter lançado o nome de Tiago Mitraud como vice na chapa encabeçada por Luiz Felipe d’Ávila na disputa pelo Palácio do Planalto.

https://t.co/5ylJUqX1z2",1.5479373933232865e+18,18.0,21.0,252.0,1.404506222892667e+18,Twitter for iPhone,pt,2022-07-15 13:33:28+00:00,
4,"@Fa1ryNight @RomeuZema Até então o Zema diz que irá apoiar o candidato do partido no 1• Turno o Luiz Felipe d’Avila (Novo) e q no 2•Turno se estiver entre Loola e Bolsonaro ele apoiaria Bolsonaro!! pode estar colocando sua reeleição a perigo, pois sabe que o D’Avila ñ tem nem 2% nas pesquisas rs 😏",1.5479292385729167e+18,0.0,0.0,6.0,1489299258.0,Twitter for iPhone,pt,2022-07-15 13:01:04+00:00,
5,"@MaraboTomas @PattyCostanzo61 @MarcusLatini @danieljosebr ""vocês de extrema esquerda""

Chamar um cara que vota no Luiz Felipe D'ávila de exterma-esquerda só prova que você é só mais um bolsonarista completamente retardado.",1.5477790581250253e+18,0.0,1.0,0.0,1.0591868532769916e+18,Twitter Web App,pt,2022-07-15 03:04:18+00:00,
6,@monark Luiz Felipe d'Avila,1.5477597598302945e+18,0.0,0.0,14.0,116918849.0,Twitter for Android,pt,2022-07-15 01:47:37+00:00,
7,@luizfn87 Luiz Felipe d'Avila 👊🇧🇷,1.547706631697285e+18,0.0,0.0,5.0,137207873.0,Twitter Web App,pt,2022-07-14 22:16:30+00:00,
8,"É só o Ciro que tem parentes
Luiz Felipe D´Avila, vem de uma família com tradição na política: é irmão do deputado estadual boldonarista, Frederico d’Avila (PSL-SP) e primo da ex-deputada Manuela d’Avila (PCdoB-RS). Também é neto do ex-deputado federal João Pacheco Chaves -MDB-SP",1.547685726614999e+18,0.0,0.0,1.0,1.457116510376403e+18,Twitter Web App,pt,2022-07-14 20:53:26+00:00,
9,"@luizfn87 1. Luiz Felipe D’Ávila @lfdavilaoficial!

Ciro é apenas mais um populista, Lulista envergonhado com temperamento do Jair do Centrão.

Vamos tirar essa gente de uma vez por todas!",1.5476287101482066e+18,1.0,0.0,10.0,51591006.0,Twitter for iPhone,pt,2022-07-14 17:06:52+00:00,
10,"@BlogdoNoblat Porque os deputados e senadores dos partidos que os apoiam votaram ""sim"" para a PEC. Participariam dessa ""reunião"" para denunciar a compra de votos só o Luiz Felipe D'Ávila e a Vera Lucia do PSTU.",1.5475732684496773e+18,0.0,0.0,3.0,872649049.0,Twitter Web App,pt,2022-07-14 13:26:34+00:00,
11,"@Andreleitepr Não é político, não tem tempo de TV e não tem estrutura pra ganhar eleições.
Luiz Felipe d'Ávila só faz número nas eleições.",1.5475486012655698e+18,0.0,3.0,0.0,1.4056659863642522e+18,Twitter for Android,pt,2022-07-14 11:48:33+00:00,
12,"@AndrePa96023811 @joao_milanineto Essa é uma introdução de uma live feita pelos dois juntos. Aliás, eles foram os únicos presidenciáveis a comparecer no Forum da Liberdade Econômica.
Infelizmente, Moro terá q apoiar Bivar 🤦‍♀️🤦‍♀️, mas D'Avila é muito mais alinhado com ele, Amoedo e Dória.
https://t.co/MVP5572xhx",1.54753846192572e+18,0.0,0.0,0.0,86854186.0,Twitter Web App,pt,2022-07-14 11:08:15+00:00,
13,"@rucula22 @alatache @GayerGus Pablo, ele chama Luiz Felipe D’Avila. Você pode conhecê-lo um pouco neste link aqui:

https://t.co/9Ng9F1P2y5",1.5473626254823588e+18,0.0,0.0,1.0,66741604.0,Twitter for iPhone,pt,2022-07-13 23:29:33+00:00,
14,"@MariaDe75332904 @alatache @GayerGus Maria, concordo contigo que quem não vota não entende que acaba votando naquele que ganhar o pleito, ainda que o que ganhar possa não ser do interesse dele. Por isto mesmo recomendo o voto no Luiz Felipe D’Avila, capacitado, sério e competente pra mudar e melhorar o rumo do país!",1.5473511295661998e+18,0.0,0.0,0.0,66741604.0,Twitter for iPhone,pt,2022-07-13 22:43:52+00:00,
15,"@ArthurWeint Lula nem pensar. Agora resta a ele a opção Bolsonaro ou outros candidatos q já se apresentaram. Luiz Felipe D'Ávila é um deles. Se votar em Bolsonaro no primeiro turno, tendo outras opções, mostrará q n tem vergonha na cara, e deixará d contar com meu apoio pra qualquer cargo. 🤷🏼",1.547305273911558e+18,0.0,1.0,0.0,1.4665011897350103e+18,Twitter for Android,pt,2022-07-13 19:41:39+00:00,
16,@oeriksilva @ArthurWeint Traidor é quem vai votar no Luiz Felipe D’avila do Novo,1.547281465653842e+18,0.0,1.0,0.0,1.434690924928512e+18,Twitter for iPhone,pt,2022-07-13 18:07:03+00:00,
17,"@Anitta Luiz Felipe d'Ávila para presidente - número 30
Anitta nem o Bostonaro nem o Lula",1.5472771891372728e+18,0.0,0.0,0.0,1.4693003704175944e+18,Twitter Web App,pt,2022-07-13 17:50:03+00:00,
18,"O nome do ex-secretário-geral do Estado Mateus Simões (Novo) é o plano B do Novo para ser o pré-candidato a vice-governador de Minas na chapa do governador Romeu Zema. A afirmação foi feita pelo pré-candidato a presidente da República Luiz Felipe D’Avila à Rádio Super 91,7 FM. https://t.co/KBeJdos4Vr",1.5470016468819354e+18,0.0,1.0,2.0,29274419.0,Twitter Media Studio - LiveCut,pt,2022-07-12 23:35:09+00:00,
19,"Luiz Felipe D'Avila, sem dúvidas!
#BrasilPraFrenteFelipePresidente https://t.co/FER7pKXbzr",1.5469354550521774e+18,2.0,1.0,15.0,137207873.0,Twitter Web App,pt,2022-07-12 19:12:07+00:00,
20,"Luiz Felipe d'Avila é defensor da Lava Jato, a favor a prisão em 2ª instância, contra o foro privilegiado, a favor da redução da máquina pública e pré-candidato a Presidência do Brasil.

Meu voto é Felipe d'Avila 👊
#BrasilPraFrenteFelipePresidente https://t.co/ktcE5OvgyA",1.54693302653338e+18,7.0,0.0,13.0,137207873.0,Twitter Web App,pt,2022-07-12 19:02:28+00:00,
21,"@cosmolemos Sr. Cosmo, não é necessário escolher entre os dois abomináveis. Não apoiamos bandido. Temos uma excelente alternativa, cuja proposta é semelhante à de Moro: Luiz Felipe D'Avila. Podemos viabilizar sua candidatura, se o apoiarmos massivamente. Vamos? #NaoVoteNuloVoteFelipedAvila",1.5469308156989645e+18,1.0,2.0,12.0,71859384.0,Twitter for Android,pt,2022-07-12 18:53:41+00:00,
22,"Um é corrupto condenado, o outro fez igual, traiu tudo que prometeu.

Luiz Felipe d'Avila é publicitário, cientista político, filantropo, fundador do Centro de Liderança Pública (CLP) e pré-candidato à Presdiência do Brasil.

Nunca foi tão fácil!
#BrasilPraFrenteFelipePresidente https://t.co/yVBBqJKkhS",1.546927443646333e+18,7.0,2.0,20.0,137207873.0,Twitter Web App,pt,2022-07-12 18:40:17+00:00,
23,"@alatache @GayerGus Você só pode considerar falta de opção se não conhecer o Luiz Felipe D’avila, cadidato à presidência pelo partido NOVO.",1.546925598622335e+18,0.0,21.0,8.0,66741604.0,Twitter for iPhone,pt,2022-07-12 18:32:57+00:00,
24,"#BrasilPraFrenteFelipePresidente 

Entrevista do Felipe D’Ávila dada ao jornalista Prisco. 
No Programa Ponto &amp; Contraponto com Luiz Felipe D’Ávila, pré-candidato do Novo à presidência.

https://t.co/m1kDuwJHwa",1.5469215469330596e+18,9.0,2.0,29.0,1.2718511110209905e+18,Twitter Web App,pt,2022-07-12 18:16:51+00:00,
25,"@georgebastos30 Luiz Felipe d'Avila.

Só saiu candidato em 2022.
Não me deu nenhum dos livros dele.

😂😂",1.5469081693848945e+18,0.0,1.0,1.0,2980958331.0,Twitter Web App,pt,2022-07-12 17:23:42+00:00,
26,@MoroNordeste @lfdavilaoficial Luiz Felipe D'ávila é de longe o melhor,1.5468971045006254e+18,0.0,1.0,2.0,129604991.0,Twitter Web App,pt,2022-07-12 16:39:44+00:00,
27,"'Terceira via é a cadeira elétrica desta eleição', diz pré-candidato do Novo ao Planalto, Luiz Felipe D'Ávila

https://t.co/N9CjxF9TZI",1.5468207755791974e+18,1.0,2.0,8.0,39326635.0,Twitter Web App,pt,2022-07-12 11:36:26+00:00,
28,"Esse é o Luiz Felipe D'Ávila, única alternativa para reorganizar o Brasil e recolocá-lo rumo ao crescimento. Só pela promessa de reduzir despesas toscas do governo e privilégios de políticos já deveria ter 90% das intenções de voto. #NaoAoNuloApoieFelipedAvila https://t.co/RrvNtQGmpm",1.5467655472070085e+18,6.0,2.0,13.0,1.3266682566781788e+18,Twitter for iPhone,pt,2022-07-12 07:56:58+00:00,
29,"‘Romeu Zema é maior orgulho do partido Novo’, diz Luiz Felipe D'Avila em BH https://t.co/0hyvGge12e https://t.co/O5fYUgsyCL",1.5466511599595684e+18,3.0,17.0,39.0,29274419.0,CMS O Tempo Online,pt,2022-07-12 00:22:26+00:00,
30,@faveladoinvest No meu xará Luiz Felipe D’ávila,1.5466429451678228e+18,1.0,0.0,37.0,8.877930801113334e+17,Twitter for iPhone,pt,2022-07-11 23:49:48+00:00,
31,"@Anitta Voto útil não funciona Anitta.
Luiz Felipe d’Avila é o voto mais adequado.",1.5466255095929078e+18,0.0,0.0,1.0,2290546328.0,Twitter for Android,pt,2022-07-11 22:40:31+00:00,
32,"@ricardorente sim, é o Luiz Felipe d’Avila. sem tempo pra analfabetos políticos liderando o Brasil.",1.5465927832926618e+18,0.0,1.0,1.0,1658574650.0,Twitter for iPhone,pt,2022-07-11 20:30:28+00:00,
33,@CardozoRickson @BotLulaRT Como não? Tem um: Luiz Felipe D'Avila. Poderia ter outro: Zema. Opções não faltam.,1.5465818075539784e+18,0.0,0.0,0.0,8.885848741264384e+17,Twitter for Android,pt,2022-07-11 19:46:51+00:00,
34,@faveladoinvest Luiz Felipe D’Avila,1.546578460927316e+18,0.0,0.0,0.0,2547978367.0,Twitter for iPhone,pt,2022-07-11 19:33:33+00:00,
35,@faveladoinvest Luiz Felipe D'Ávila,1.546543636044718e+18,0.0,0.0,0.0,1.0536741878255206e+18,Twitter Web App,pt,2022-07-11 17:15:10+00:00,
36,"Hoje meu voto é no Luiz Felipe D'Ávila do partido novo!!!
No segundo turno qualquer um que não seja o ladrão de 9 dedos(caso passe).
#BolsolulaéMinhaCaceta
#Neoliberalismo 
#NãoExisteAlmoçoGrátis https://t.co/cbxukJVe7N",1.5465206117527593e+18,0.0,1.0,2.0,8.634104442660782e+17,Twitter for Android,pt,2022-07-11 15:43:41+00:00,{'place_id': '97bcdfca1a2dca59'}
37,"@faveladoinvest Luiz Felipe D'Ávila 30

De longe o melhor",1.5465175575612006e+18,0.0,0.0,4.0,129604991.0,Twitter Web App,pt,2022-07-11 15:31:33+00:00,
38,"Em 2018, tinha Bolsonaro e Haddad. E tinha Alckmin, Meirelles, Amoedo, Ciro, Álvaro Dias...
Em 2022, tem Bolsonaro e Lula. E tem Simone, Ciro, Luiz Felipe d'Avila...
Milhões de brasileiros que reclamam do país seguem preferindo populistas. 
É uma INFORMAÇÃO.",1.5464565201199675e+18,0.0,1.0,10.0,202336564.0,Twitter Web App,pt,2022-07-11 11:29:00+00:00,
39,"@ValeriaMoro17 @toledolimaadv @dan_nc @lfdavilaoficial @SF_Moro Luiz Felipe D'Ávila não é menos pior, é bom.",1.546404065868976e+18,0.0,0.0,1.0,9.25920274746413e+17,Twitter for Android,pt,2022-07-11 08:00:34+00:00,
40,"@JGouveaS Luiz Felipe D’Ávila, candidato pelo partido NOVO.
@lfdavilaoficial",1.5463078917028209e+18,3.0,1.0,26.0,2310775454.0,Twitter for iPhone,pt,2022-07-11 01:38:25+00:00,
41,"""Um País que trata Telenovela como obra-de arte, músico como intelectual e o ensino da história como um assunto secundário jamais conseguirá cultivar a memória de seus habitantes ou transmitir os valores da cidadania.""

Luiz Felipe D'avila",1.546247738311983e+18,0.0,0.0,1.0,241695726.0,Twitter Web App,pt,2022-07-10 21:39:23+00:00,
42,"Luiz Felipe d'Avila,pré-candidato p NOVO:“Estamos caminhando a passos largos p a campanha política + violenta q já vivemos.O assassinato do tesoureiro d PT,Marcelo de Arruda,em Foz do Iguaçu,era mais uma tragédia evitável.O vergonhoso silêncio d Bolsonaro só piora a situação.""(g1",1.5462352813130875e+18,0.0,1.0,4.0,2812283375.0,Twitter for iPhone,pt,2022-07-10 20:49:53+00:00,
43,Oito agora: Luiz Felipe D'Avila (Novo) também se manifestou.,1.5461977294828708e+18,1.0,1.0,10.0,13694562.0,Twitter Web App,pt,2022-07-10 18:20:40+00:00,
44,"Luiz Felipe D'Ávila, o candidato anarcocapitalista?
Assisti ele no O Antagonista, usa alguns argumentos iguais ao Ciro Gomes enqto critica o PND...
Achei ele até mais claro e mais direto, porém, professando liberalismo extremo - sua proposta é privatizar tudo que for federal.",1.5461910651865866e+18,0.0,0.0,0.0,1.5356642426109133e+18,Twitter for Android,pt,2022-07-10 17:54:11+00:00,
45,@FoxBluesi @franciscorazzo Tem dois candidatos oficiais que podem usar esse rótulo de 3ª via: Simone Tebet e Luiz Felipe D'ávila.,1.545924447990866e+18,0.0,0.0,0.0,1.0591868532769916e+18,Twitter Web App,pt,2022-07-10 00:14:44+00:00,
46,"Resultado da enquete que fizemos nos stories do nosso Instagram sobre a intenção de voto dos seguidores para Presidente da República no 1° turno:
Jair Messias Bolsonaro (PL): 64,5%
Luiz Felipe d'Avila (NOVO): 21,5%
Nenhum dos anteriores: 10,7%
Simone Tebet (MDB): 3,3%",1.5457734163383624e+18,8.0,19.0,276.0,7.585198175780864e+17,Twitter for Android,pt,2022-07-09 14:14:36+00:00,
47,Luiz Felipe D'Ávila https://t.co/XkCqQIcFUW,1.545573664799826e+18,0.0,0.0,1.0,110417753.0,Twitter for Android,pt,2022-07-09 01:00:51+00:00,
48,,,,,,,,,,
49,,,,,,,,,,
50,,,,,,,,,,
51,,,,,,,,,,
52,,,,,,,,,,
53,,,,,,,,,,
54,,,,,,,,,,
55,,,,,,,,,,
56,,,,,,,,,,
57,,,,,,,,,,
58,,,,,,,,,,
59,,,,,,,,,,
60,,,,,,,,,,
61,,,,,,,,,,
62,,,,,,,,,,
63,,,,,,,,,,
64,,,,,,,,,,
